station_a,station_b,euclidean_m,network_path_m,detour_ratio,pop_jobs_proxy,impact_score
metro_bus_gtfs::15750,metro_bus_gtfs::2535,31.833412709163547,1714.766606851555,53.86687951172585,2320550400.0,122680258397.68723
metro_bus_gtfs::3102,metro_bus_gtfs::5879,110.00743144158916,1865.417033025929,16.957191060464062,2754244311.2437353,43950002701.71253
metro_bus_gtfs::13242,metro_rail_gtfs::80213,646.6664405746312,,,3572129175.4596763,39293420930.05644
metro_bus_gtfs::13968,metro_bus_gtfs::5259,162.42743238508618,1839.2289973667307,11.323388976600025,3789591720.0,39121429388.06273
metro_bus_gtfs::12102,metro_rail_gtfs::80213,16.403962931760482,,,2922488370.0,32147372070.0
metro_bus_gtfs::5911,metro_rail_gtfs::80213,304.5496727644474,,,2830016598.5034375,31130182583.53781
metro_bus_gtfs::11903,metro_rail_gtfs::80213,654.6628069928663,,,2805107788.8598905,30856185677.458794
metro_bus_gtfs::5377,metro_rail_gtfs::80213,98.92544565861421,,,2629528111.9549155,28924809231.50407
metro_bus_gtfs::70,metro_rail_gtfs::80213,802.6943314407396,,,2619979174.070707,28819770914.777775
metro_bus_gtfs::13227,metro_rail_gtfs::81401,534.8517733818221,,,2599936397.799067,28599300375.789738
metro_bus_gtfs::4105,metro_rail_gtfs::81401,273.9803846701759,,,2493445437.617963,27427899813.797592
metro_bus_gtfs::4771,metro_rail_gtfs::80211,974.5158089394833,,,2486445789.4618354,27350903684.08019
metro_bus_gtfs::4767,metro_rail_gtfs::81401,607.5732688473818,,,2456115212.3523064,27017267335.87537
metro_bus_gtfs::15613,metro_rail_gtfs::81402,580.5456625670447,,,2409440013.0156236,26503840143.17186
metro_bus_gtfs::7371,metro_rail_gtfs::80122,580.8950941814122,,,2408846693.9444013,26497313633.388412
