station_a,station_b,lon_a,lat_a,lon_b,lat_b,euclidean_m,euclidean_km,demand_proxy,effective_resistance,n_tracts_buffer,mean_accessibility_buffer,pct_desert_tracts_buffer,unmet_need,impact_score
metro_rail_gtfs::80418,metro_rail_gtfs::81401,-118.147512,34.148356,-118.2515307,34.05472448,14146.517065837717,14.146517065837717,509320907.09201103,16859.197641653915,59,555849.6440677966,0.0,0.35681436544747325,8586741835690.665
metro_rail_gtfs::80133,metro_rail_gtfs::81402,-118.404255,34.029323,-118.2463211,34.05215607,14771.936405504634,14.771936405504633,278154841.13098496,16816.68047144923,96,845003.8125,0.0,0.02222782879784091,4677641084886.497
metro_rail_gtfs::80114,metro_rail_gtfs::81402,-118.243205,33.959611,-118.2463211,34.05215607,10294.55027196918,10.294550271969179,285169305.46760434,13048.70251132757,52,709370.0,0.0,0.17917264416404566,3721089432408.668
metro_rail_gtfs::80123,metro_rail_gtfs::80418,-118.273603,34.029112,-118.147512,34.148356,17624.894266304334,17.624894266304334,140484476.07127702,20386.843061230073,81,624674.2962962963,0.0,0.2771758731161814,2864034966204.2563
metro_rail_gtfs::80401,metro_rail_gtfs::80418,-118.154469,34.033398,-118.147512,34.148356,12798.790078441421,12.79879007844142,96842149.78574154,23683.136039490953,37,305335.08108108107,0.0,0.6466901796696498,2293525807732.4766
metro_rail_gtfs::80132,metro_rail_gtfs::80401,-118.388986,34.027896,-118.154469,34.033398,21619.746501367194,21.619746501367192,90431049.57070617,24361.43531256735,86,784416.6744186047,0.0,0.09233451550438276,2203030164364.33
metro_rail_gtfs::80417,metro_rail_gtfs::81403,-118.148214,34.14191,-118.2387567,34.04884524,13289.019015193491,13.28901901519349,130573442.94821401,14789.870278212495,54,552477.5370370371,0.0,0.36071630336090943,1931164282983.6653
metro_rail_gtfs::80117,metro_rail_gtfs::80419,-118.243303,34.00292,-118.13139,34.151806,19501.79090686423,19.50179090686423,69520007.9896428,26062.9611692542,62,496906.5806451613,0.0,0.4250186578394164,1811897268720.302
metro_rail_gtfs::80122,metro_rail_gtfs::80123,-118.258822,34.04861,-118.273603,34.029112,2560.370798887341,2.560370798887341,624008524.599449,2570.8763943220447,23,874368.2173913043,0.0,0.0,1604248785748.4504
metro_rail_gtfs::80123,metro_rail_gtfs::80401,-118.273603,34.029112,-118.154469,34.033398,10988.637091443383,10.988637091443383,118982835.58343497,13048.902563328877,42,727675.1666666666,0.0,0.15799134025616057,1552595428236.8228
