GEOID,accessibility_jobs_before,pop_total,transit_desert,accessibility_jobs_after,gain_jobs,gain_pct
06037432300,95420.0,3922,False,95420.0,0.0,0.0
06037432401,85958.0,3951,False,85958.0,0.0,0.0
06037432402,130432.0,5480,False,130432.0,0.0,0.0
06037432601,4282.0,6489,False,4282.0,0.0,0.0
06037461400,68893.0,2736,False,68893.0,0.0,0.0
06037461600,82951.0,5495,False,82951.0,0.0,0.0
06037901003,0.0,3658,True,0.0,0.0,
06037576401,14845.0,4338,False,14845.0,0.0,0.0
06037570502,52112.0,6026,False,52112.0,0.0,0.0
06037542501,268856.0,4108,False,268856.0,0.0,0.0
06037461700,20121.0,1386,False,20121.0,0.0,0.0
06037430400,0.0,4358,True,0.0,0.0,
06037400206,0.0,5773,True,0.0,0.0,
06037291110,105281.0,4530,False,105281.0,0.0,0.0
06037291130,374045.0,3492,False,374045.0,0.0,0.0
06037291210,7006.0,4752,False,7006.0,0.0,0.0
06037291220,87820.0,3008,False,87820.0,0.0,0.0
06037291300,177778.0,3132,False,177778.0,0.0,0.0
06037310701,472906.0,2366,False,472906.0,0.0,0.0
06037408627,0.0,2861,True,0.0,0.0,
06037532302,138111.0,4588,False,138111.0,0.0,0.0
06037532303,262323.0,4399,False,262323.0,0.0,0.0
06037532304,557383.0,4119,False,557383.0,0.0,0.0
06037532500,698608.0,3833,False,698608.0,0.0,0.0
06037480102,183455.0,4059,False,183455.0,0.0,0.0
06037404501,0.0,2786,True,0.0,0.0,
06037480012,218610.0,4908,False,218610.0,0.0,0.0
06037480002,153839.0,3936,False,153839.0,0.0,0.0
06037431200,0.0,6276,True,0.0,0.0,
06037431800,205962.0,5040,False,205962.0,0.0,0.0
06037431300,24878.0,2543,False,24878.0,0.0,0.0
06037430802,16030.0,4199,False,16030.0,0.0,0.0
06037135111,183096.0,4001,False,183096.0,0.0,0.0
06037135102,178525.0,3652,False,178525.0,0.0,0.0
06037403321,0.0,5536,True,0.0,0.0,
06037405600,0.0,5613,True,0.0,0.0,
06037405101,0.0,5120,True,0.0,0.0,
06037185320,820220.0,2735,False,820220.0,0.0,0.0
06037481603,161523.0,3450,False,161523.0,0.0,0.0
06037481001,201011.0,4679,False,201011.0,0.0,0.0
06037404600,0.0,1343,True,0.0,0.0,
06037800406,0.0,2167,True,0.0,0.0,
06037800410,0.0,3527,True,0.0,0.0,
06037800504,0.0,1890,True,0.0,0.0,
06037800506,0.0,3393,True,0.0,0.0,
06037186401,756754.0,2692,False,756754.0,0.0,0.0
06037402902,0.0,6853,True,0.0,0.0,
06037403000,0.0,6796,True,0.0,0.0,
06037910211,0.0,1677,True,0.0,0.0,
06037404702,0.0,4807,True,0.0,0.0,
06037404703,0.0,3189,True,0.0,0.0,
06037900807,0.0,3859,True,0.0,0.0,
06037910720,0.0,5366,True,0.0,0.0,
06037900301,0.0,4439,True,0.0,0.0,
06037900610,0.0,3207,True,0.0,0.0,
06037901215,0.0,3638,True,0.0,0.0,
06037261103,15481.0,1767,False,15481.0,0.0,0.0
06037920050,0.0,1040,True,0.0,0.0,
06037400208,0.0,1361,True,0.0,0.0,
06037104824,245896.0,2657,False,245896.0,0.0,0.0
06037910814,0.0,3434,True,0.0,0.0,
06037910721,0.0,3708,True,0.0,0.0,
06037910719,0.0,4658,True,0.0,0.0,
06037901217,0.0,1533,True,0.0,0.0,
06037910217,0.0,5356,True,0.0,0.0,
06037920120,0.0,4283,True,0.0,0.0,
06037901013,0.0,3613,True,0.0,0.0,
06037901218,0.0,2424,True,0.0,0.0,
06037900808,0.0,5369,True,0.0,0.0,
06037800335,0.0,4475,True,0.0,0.0,
06037139704,0.0,2597,True,0.0,0.0,
06037189703,181025.0,1872,False,181025.0,0.0,0.0
06037430004,6704.0,3129,False,6704.0,0.0,0.0
06037800337,0.0,3771,True,0.0,0.0,
06037404903,0.0,2520,True,0.0,0.0,
06037143606,818657.0,1695,False,818657.0,0.0,0.0
06037400605,0.0,7444,True,0.0,0.0,
06037463103,134990.0,5474,False,134990.0,0.0,0.0
06037800336,0.0,3893,True,0.0,0.0,
06037143801,516572.0,3411,False,516572.0,0.0,0.0
06037189704,276303.0,1561,False,276303.0,0.0,0.0
06037430005,0.0,3849,True,0.0,0.0,
06037143802,208597.0,2239,False,208597.0,0.0,0.0
06037189501,833469.0,2182,False,833469.0,0.0,0.0
06037400801,0.0,6912,True,0.0,0.0,
06037139705,0.0,4097,True,0.0,0.0,
06037143605,614737.0,1827,False,614737.0,0.0,0.0
06037431004,0.0,3462,True,0.0,0.0,
06037189502,834448.0,1875,False,834448.0,0.0,0.0
06037190303,938807.0,2514,False,938807.0,0.0,0.0
06037800324,0.0,6585,True,0.0,0.0,
06037311602,720455.0,4270,False,720455.0,0.0,0.0
06037143302,264163.0,3258,False,264163.0,0.0,0.0
06037143101,439073.0,2074,False,439073.0,0.0,0.0
06037311601,605723.0,2578,False,605723.0,0.0,0.0
06037800334,0.0,3749,True,0.0,0.0,
06037431003,0.0,4705,True,0.0,0.0,
06037800333,0.0,2196,True,0.0,0.0,
06037143401,614768.0,5478,False,614768.0,0.0,0.0
06037143102,631133.0,2337,False,631133.0,0.0,0.0
06037301902,560534.0,3279,False,560534.0,0.0,0.0
06037800206,0.0,3604,True,0.0,0.0,
06037143301,628556.0,3385,False,628556.0,0.0,0.0
06037117301,265905.0,3632,False,265905.0,0.0,0.0
06037462600,186152.0,2349,False,186152.0,0.0,0.0
06037117405,251596.0,3176,False,251596.0,0.0,0.0
06037103300,9086.0,3816,False,9086.0,0.0,0.0
06037910807,0.0,6142,True,0.0,0.0,
06037900104,0.0,6593,True,0.0,0.0,
06037920331,0.0,3764,True,0.0,0.0,
06037920332,0.0,2215,True,0.0,0.0,
06037408303,0.0,4502,True,0.0,0.0,
06037900103,0.0,6514,True,0.0,0.0,
06037900505,0.0,4587,True,0.0,0.0,
06037900506,0.0,5095,True,0.0,0.0,
06037104204,20789.0,3691,False,20789.0,0.0,0.0
06037900608,0.0,4229,True,0.0,0.0,
06037183402,624600.0,2939,False,624600.0,0.0,0.0
06037183701,569899.0,3181,False,569899.0,0.0,0.0
06037183702,99474.0,3074,False,99474.0,0.0,0.0
06037186201,635673.0,3382,False,635673.0,0.0,0.0
06037186203,69728.0,2991,False,69728.0,0.0,0.0
06037186302,284502.0,4850,False,284502.0,0.0,0.0
06037296402,24380.0,3346,False,24380.0,0.0,0.0
06037296902,29853.0,4552,False,29853.0,0.0,0.0
06037297202,5820.0,4128,False,5820.0,0.0,0.0
06037297601,11883.0,3443,False,11883.0,0.0,0.0
06037297602,26270.0,3388,False,26270.0,0.0,0.0
06037121102,338662.0,2271,False,338662.0,0.0,0.0
