station_a,station_b,r_eff_before,r_eff_after,r_eff_delta,r_eff_pct_change,sp_m_before,sp_m_after,sp_m_delta,sp_m_pct_change
metro_rail_gtfs::80121,metro_rail_gtfs::80132,12778.475923084241,12778.475923080705,-3.536115400493145e-09,-2.767243466104728e-11,12768.47592308347,12768.47592308347,0.0,0.0
metro_rail_gtfs::80121,metro_rail_gtfs::80124,2348.463710901022,2348.4637109003743,-6.475602276623249e-10,-2.757378045300428e-11,2346.4637109008368,2346.4637109008368,0.0,0.0
metro_rail_gtfs::80123,metro_rail_gtfs::80132,11312.532749240287,11312.53274923718,-3.106833901256323e-09,-2.746364558781028e-11,11303.532749239583,11303.532749239583,0.0,0.0
metro_rail_gtfs::80124,metro_rail_gtfs::80132,10430.012212183305,10430.012212180442,-2.863089321181178e-09,-2.745048867571604e-11,10422.012212182633,10422.012212182633,0.0,0.0
metro_rail_gtfs::80121,metro_rail_gtfs::80123,1465.9431738440044,1465.9431738436097,-3.9472070056945086e-10,-2.6926057408788367e-11,1464.9431738438875,1464.9431738438875,0.0,0.0
metro_rail_gtfs::80122,metro_rail_gtfs::80132,13883.40914356225,13883.40914355857,-3.6798155633732677e-09,-2.6505129434146236e-11,13872.409143561455,13872.409143561455,0.0,0.0
metro_rail_gtfs::80123,metro_rail_gtfs::80124,882.5205370570147,882.5205370567819,-2.3283064365386963e-10,-2.6382461809931537e-11,881.5205370569494,881.5205370569494,0.0,0.0
metro_rail_gtfs::80122,metro_rail_gtfs::80136,20024.863775311525,20024.86377530653,-4.994944902136922e-09,-2.4943714764717372e-11,20009.863775310456,20009.863775310456,0.0,0.0
metro_rail_gtfs::80119,metro_rail_gtfs::80136,21272.05576528157,21272.055765276276,-5.293259164318442e-09,-2.4883627716685696e-11,21256.05576528048,21256.05576528048,0.0,0.0
metro_rail_gtfs::81403,metro_rail_gtfs::80132,16188.837541774878,16188.837541770914,-3.963577910326421e-09,-2.448340036830014e-11,16174.837541774004,16174.837541774004,0.0,0.0
metro_rail_gtfs::80121,metro_rail_gtfs::80137,20471.88114906132,20471.88114905634,-4.980392986908555e-09,-2.4327969426184938e-11,20456.881149060235,20456.881149060235,0.0,0.0
metro_rail_gtfs::81402,metro_rail_gtfs::80136,21541.12159878998,21541.121598784746,-5.235051503404975e-09,-2.4302594827276964e-11,21524.12159878884,21524.12159878884,0.0,0.0
metro_rail_gtfs::81403,metro_rail_gtfs::80136,22330.292173524158,22330.292173518876,-5.282345227897167e-09,-2.3655513268026846e-11,22312.292173523005,22312.292173523005,0.0,0.0
metro_rail_gtfs::80121,metro_rail_gtfs::80138,21641.17395326304,21641.173953258018,-5.0240487325936556e-09,-2.3215231962201997e-11,21625.173953261954,21625.173953261954,0.0,0.0
metro_rail_gtfs::80122,metro_rail_gtfs::80138,22746.107173741042,22746.10717373589,-5.1513779908418655e-09,-2.2647294992036306e-11,22729.107173739936,22729.107173739936,0.0,0.0
metro_rail_gtfs::80410,metro_rail_gtfs::80132,17946.7032924104,17946.703292406335,-4.063622327521443e-09,-2.264272307460466e-11,17930.703292409507,17930.703292409507,0.0,0.0
metro_rail_gtfs::80112,metro_rail_gtfs::80136,32941.732128229385,32941.73212822194,-7.443304639309645e-09,-2.259536508382664e-11,32918.7321282282,32918.7321282282,0.0,0.0
metro_rail_gtfs::80410,metro_rail_gtfs::80136,24088.157924159674,24088.157924154308,-5.366018740460277e-09,-2.2276584026702707e-11,24068.15792415851,24068.15792415851,0.0,0.0
metro_rail_gtfs::81402,metro_rail_gtfs::80138,24262.364997219498,24262.364997214107,-5.391484592109919e-09,-2.222159543279392e-11,24243.36499721832,24243.36499721832,0.0,0.0
metro_rail_gtfs::80121,metro_rail_gtfs::80139,23078.87006895192,23078.87006894684,-5.082256393507123e-09,-2.202125311301223e-11,23061.870068950804,23061.870068950804,0.0,0.0
metro_rail_gtfs::80154,metro_rail_gtfs::80136,50675.905633469454,50675.905633458315,-1.1139491107314825e-08,-2.1981829368546355e-11,50891.473937394854,50891.473937394854,0.0,0.0
metro_rail_gtfs::80105,metro_rail_gtfs::80136,50006.11364297941,50006.11364296843,-1.0986695997416973e-08,-2.197070557383626e-11,49976.11364297896,49976.11364297896,0.0,0.0
metro_rail_gtfs::80122,metro_rail_gtfs::80123,2570.8763943220447,2570.87639432148,-5.647962098009884e-10,-2.1969014576055825e-11,2568.8763943218732,2568.8763943218732,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::80136,50854.97494937314,50854.97494936203,-1.1110387276858091e-08,-2.184719840668222e-11,51583.87833911265,51583.87833911265,0.0,0.0
metro_rail_gtfs::80102,metro_rail_gtfs::80136,50763.732053181346,50763.732053170264,-1.1081283446401358e-08,-2.1829134695597892e-11,51112.76987958787,51112.76987958787,0.0,0.0
metro_rail_gtfs::81401,metro_rail_gtfs::80124,4410.165956634812,4410.165956633852,-9.595169103704393e-10,-2.1756934315066027e-11,4406.165956634531,4406.165956634531,0.0,0.0
metro_rail_gtfs::80105,metro_rail_gtfs::80132,43864.6590112301,43864.659011220596,-9.502400644123554e-09,-2.1662999002661297e-11,43838.65901122996,43838.65901122996,0.0,0.0
metro_rail_gtfs::80154,metro_rail_gtfs::80132,44534.451001720125,44534.45100171049,-9.633367881178856e-09,-2.163127121698833e-11,44754.01930564585,44754.01930564585,0.0,0.0
metro_rail_gtfs::80107,metro_rail_gtfs::80136,47196.116922733665,47196.11692272348,-1.0186340659856796e-08,-2.1583005814934295e-11,47168.1169227331,47168.1169227331,0.0,0.0
metro_rail_gtfs::80122,metro_rail_gtfs::80139,24183.803289429925,24183.80328942471,-5.213223630562425e-09,-2.1556673977913893e-11,24165.803289428786,24165.803289428786,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::80132,44713.520317623814,44713.52031761421,-9.604264050722122e-09,-2.1479552454152455e-11,45446.42370736365,45446.42370736365,0.0,0.0
metro_rail_gtfs::80123,metro_rail_gtfs::80139,21612.926895107965,21612.926895103323,-4.642060957849026e-09,-2.1478168969792543e-11,21596.926895106917,21596.926895106917,0.0,0.0
metro_rail_gtfs::81401,metro_rail_gtfs::80139,25140.57231468568,25140.572314680303,-5.376932676881552e-09,-2.1387471253948568e-11,25121.572314684494,25121.572314684494,0.0,0.0
metro_rail_gtfs::81402,metro_rail_gtfs::80139,25700.06111290838,25700.061112902928,-5.453330231830478e-09,-2.1219133323739185e-11,25680.06111290717,25680.06111290717,0.0,0.0
metro_rail_gtfs::81402,metro_rail_gtfs::80124,4969.654754857523,4969.654754856473,-1.0495568858459592e-09,-2.1119311856021464e-11,4964.654754857207,4964.654754857207,0.0,0.0
metro_rail_gtfs::80105,metro_rail_gtfs::80138,52727.357041408904,52727.35704139785,-1.1052179615944624e-08,-2.0960996788185125e-11,52695.357041408446,52695.357041408446,0.0,0.0
metro_rail_gtfs::80153,metro_rail_gtfs::80138,53561.10019158428,53561.10019157305,-1.1226802598685026e-08,-2.096073933979613e-11,54150.92205951375,54150.92205951375,0.0,0.0
metro_rail_gtfs::80154,metro_rail_gtfs::80138,53397.14903189894,53397.14903188775,-1.1190422810614109e-08,-2.0956966829687966e-11,53610.71733582434,53610.71733582434,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::80138,53576.21834780262,53576.21834779146,-1.1161318980157375e-08,-2.0832599471095642e-11,54303.12173754213,54303.12173754213,0.0,0.0
metro_rail_gtfs::81403,metro_rail_gtfs::80139,26489.231687642558,26489.231687637057,-5.50062395632267e-09,-2.0765509627403636e-11,26468.231687641335,26468.231687641335,0.0,0.0
metro_rail_gtfs::80410,metro_rail_gtfs::80138,26809.401322589194,26809.40132258367,-5.52245182916522e-09,-2.0598937524621583e-11,26787.40132258799,26787.40132258799,0.0,0.0
metro_rail_gtfs::80154,metro_rail_gtfs::80139,54834.84514758784,54834.84514757657,-1.1270458344370127e-08,-2.0553460694628968e-11,55047.41345151319,55047.41345151319,0.0,0.0
metro_rail_gtfs::80153,metro_rail_gtfs::80139,54998.79630727317,54998.79630726187,-1.129956217482686e-08,-2.0545108135998567e-11,55587.6181752026,55587.6181752026,0.0,0.0
metro_rail_gtfs::80105,metro_rail_gtfs::80139,54165.0531570978,54165.05315708667,-1.1124939192086458e-08,-2.0538961089579666e-11,54132.053157097296,54132.053157097296,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::80139,55013.91446349152,55013.91446348028,-1.1241354513913393e-08,-2.043365687306874e-11,55739.81785323098,55739.81785323098,0.0,0.0
metro_rail_gtfs::81401,metro_rail_gtfs::80123,3527.6454195777956,3527.64541957709,-7.057678885757923e-10,-2.0006769519944036e-11,3524.645419577581,3524.645419577581,0.0,0.0
metro_rail_gtfs::80410,metro_rail_gtfs::80139,28247.097438278073,28247.097438272493,-5.580659490078688e-09,-1.9756576767835447e-11,28224.09743827684,28224.09743827684,0.0,0.0
metro_rail_gtfs::81402,metro_rail_gtfs::80123,4087.1342178005066,4087.134217799711,-7.953531167004257e-10,-1.945992165455348e-11,4083.134217800258,4083.134217800258,0.0,0.0
metro_rail_gtfs::80410,metro_rail_gtfs::80124,7516.691080227252,7516.691080225966,-1.2860255083069205e-09,-1.710893123823894e-11,7508.69108022687,7508.69108022687,0.0,0.0
metro_rail_gtfs::80153,metro_rail_gtfs::80124,34268.38994922251,34268.38994921681,-5.6970748119056225e-09,-1.662486863359298e-11,34872.21181715263,34872.21181715263,0.0,0.0
metro_rail_gtfs::80417,metro_rail_gtfs::80136,37120.16245173645,37120.16245173034,-6.104528438299894e-09,-1.6445317140615935e-11,37093.16245173513,37093.16245173513,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::80124,34283.50810544086,34283.50810543523,-5.631591193377972e-09,-1.6426531310791462e-11,35024.41149518101,35024.41149518101,0.0,0.0
metro_rail_gtfs::80418,metro_rail_gtfs::80136,37840.83044222095,37840.83044221488,-6.068148650228977e-09,-1.603598171423435e-11,37812.830442219645,37812.830442219645,0.0,0.0
metro_rail_gtfs::80153,metro_rail_gtfs::80123,33385.86941216551,33385.869412160224,-5.289621185511351e-09,-1.5843892277323352e-11,33990.69128009568,33990.69128009568,0.0,0.0
metro_rail_gtfs::80417,metro_rail_gtfs::80132,30978.7078199872,30978.70781998235,-4.849425749853253e-09,-1.5654060776300184e-11,30955.707819986124,30955.707819986124,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::80123,33400.987568383855,33400.98756837864,-5.216861609369516e-09,-1.561888431798228e-11,34142.89095812406,34142.89095812406,0.0,0.0
metro_rail_gtfs::80410,metro_rail_gtfs::80123,6634.1705431702385,6634.170543169204,-1.0340954759158194e-09,-1.5587411707110884e-11,6627.170543169921,6627.170543169921,0.0,0.0
metro_rail_gtfs::80418,metro_rail_gtfs::80132,31699.375810471713,31699.37581046689,-4.823959898203611e-09,-1.5217838758232087e-11,31675.375810470647,31675.375810470647,0.0,0.0
metro_rail_gtfs::80418,metro_rail_gtfs::80139,41999.76995633933,41999.76995633305,-6.2791514210402966e-09,-1.4950442413298357e-11,41968.76995633798,41968.76995633798,0.0,0.0
metro_rail_gtfs::80122,metro_rail_gtfs::80121,1104.9332204780394,1104.9332204778757,-1.6370904631912708e-10,-1.4816193710629846e-11,1103.9332204779857,1103.9332204779857,0.0,0.0
metro_rail_gtfs::80419,metro_rail_gtfs::80132,33232.74390163553,33232.74390163069,-4.838511813431978e-09,-1.455947130863863e-11,33207.74390163445,33207.74390163445,0.0,0.0
metro_rail_gtfs::81402,metro_rail_gtfs::80122,1516.2578234784587,1516.2578234782386,-2.2009771782904863e-10,-1.4515850432621067e-11,1514.2578234783846,1514.2578234783846,0.0,0.0
metro_rail_gtfs::80419,metro_rail_gtfs::80139,43533.138047503155,43533.13804749687,-6.28642737865448e-09,-1.4440556460218327e-11,43501.13804750179,43501.13804750179,0.0,0.0
metro_rail_gtfs::80153,metro_rail_gtfs::80120,31025.522642222575,31025.522642218137,-4.43833414465189e-09,-1.4305429100529541e-11,31632.344510152783,31632.344510152783,0.0,0.0
metro_rail_gtfs::80154,metro_rail_gtfs::80120,30861.571482537227,30861.57148253282,-4.405592335388064e-09,-1.4275333768667398e-11,31092.13978646337,31092.13978646337,0.0,0.0
metro_rail_gtfs::80105,metro_rail_gtfs::80120,30191.779492047197,30191.779492042908,-4.2891770135611296e-09,-1.4206439917497873e-11,30176.77949204747,30176.77949204747,0.0,0.0
metro_rail_gtfs::81401,metro_rail_gtfs::80122,956.7690252557504,956.7690252556158,-1.3460521586239338e-10,-1.4068726339297257e-11,955.7690252557074,955.7690252557074,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::80120,31040.64079844092,31040.640798436554,-4.3655745685100555e-09,-1.4064060715941553e-11,31784.544188181168,31784.544188181168,0.0,0.0
metro_rail_gtfs::80132,metro_rail_gtfs::80139,10300.394145867613,10300.39414586625,-1.3624230632558465e-09,-1.322690223269207e-11,10293.394145867333,10293.394145867333,0.0,0.0
metro_rail_gtfs::80102,metro_rail_gtfs::80119,29491.676287900067,29491.67628789618,-3.8853613659739494e-09,-1.3174433789536904e-11,29856.71411430738,29856.71411430738,0.0,0.0
metro_rail_gtfs::80107,metro_rail_gtfs::80119,25924.061157452386,25924.06115744906,-3.3251126296818256e-09,-1.282635698738103e-11,25912.06115745261,25912.06115745261,0.0,0.0
metro_rail_gtfs::80153,metro_rail_gtfs::81403,35330.28785701194,35330.287857007665,-4.2782630771398544e-09,-1.2109335464388963e-11,35932.109724942326,35932.109724942326,0.0,0.0
metro_rail_gtfs::80154,metro_rail_gtfs::81403,35166.33669732659,35166.336697322346,-4.241883289068937e-09,-1.2062340543396474e-11,35391.90500125291,35391.90500125291,0.0,0.0
metro_rail_gtfs::80105,metro_rail_gtfs::81403,34496.544706836554,34496.544706832436,-4.118192009627819e-09,-1.1937984063695727e-11,34476.54470683701,34476.54470683701,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::81403,35345.406013230284,35345.406013226086,-4.198227543383837e-09,-1.1877717692116427e-11,36084.309402970706,36084.309402970706,0.0,0.0
metro_rail_gtfs::80423,metro_rail_gtfs::80136,51460.31392615574,51460.31392614974,-5.995389074087143e-09,-1.1650510105108135e-11,51427.31392615431,51427.31392615431,0.0,0.0
metro_rail_gtfs::80417,metro_rail_gtfs::80124,20548.695607804206,20548.69560780187,-2.3355823941528797e-09,-1.136608590019625e-11,20533.69560780349,20533.69560780349,0.0,0.0
metro_rail_gtfs::80153,metro_rail_gtfs::80409,36214.13518398664,36214.13518398255,-4.089088179171085e-09,-1.1291414687652738e-11,36814.95705191712,36814.95705191712,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::80409,36229.25334020499,36229.253340200965,-4.0236045606434345e-09,-1.1105954966447753e-11,36967.1567299455,36967.1567299455,0.0,0.0
metro_rail_gtfs::80153,metro_rail_gtfs::80410,37088.15360764726,37088.153607643304,-3.958120942115784e-09,-1.067219733823485e-11,37687.97547557783,37687.97547557783,0.0,0.0
metro_rail_gtfs::80153,metro_rail_gtfs::80401,43502.88562780677,43502.885627802294,-4.474713932722807e-09,-1.0286016359941415e-11,44097.70749573709,44097.70749573709,0.0,0.0
metro_rail_gtfs::80154,metro_rail_gtfs::80401,43338.93446812141,43338.934468116975,-4.43833414465189e-09,-1.0240985845917766e-11,43557.50277204768,43557.50277204768,0.0,0.0
metro_rail_gtfs::80105,metro_rail_gtfs::80401,42669.14247763138,42669.142477627065,-4.3146428652107716e-09,-1.011185745641046e-11,42642.14247763178,42642.14247763178,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::80401,43518.0037840251,43518.00378402071,-4.394678398966789e-09,-1.0098529382866636e-11,44249.907173765474,44249.907173765474,0.0,0.0
metro_rail_gtfs::80410,metro_rail_gtfs::81403,1757.8657506355657,1757.8657506353911,-1.7462298274040222e-10,-9.933806530860866e-12,1755.8657506354998,1755.8657506354998,0.0,0.0
metro_rail_gtfs::81403,metro_rail_gtfs::80120,4304.765214789665,4304.765214789262,-4.029061528854072e-10,-9.359538390181254e-12,4299.76521478954,4299.76521478954,0.0,0.0
metro_rail_gtfs::80410,metro_rail_gtfs::80120,6062.630965425218,6062.630965424656,-5.620677256956697e-10,-9.271019940040958e-12,6055.63096542504,6055.63096542504,0.0,0.0
metro_rail_gtfs::80154,metro_rail_gtfs::80112,17734.173505240324,17734.17350523869,-1.6334524843841791e-09,-9.210761831677723e-12,17972.741809166644,17972.741809166644,0.0,0.0
metro_rail_gtfs::80101,metro_rail_gtfs::80112,17913.242821144013,17913.242821142434,-1.5788828022778034e-09,-8.814053480111144e-12,18665.146210884443,18665.146210884443,0.0,0.0
metro_rail_gtfs::80417,metro_rail_gtfs::80120,19094.635493002203,19094.635493000547,-1.6552803572267294e-09,-8.668824067541672e-12,19080.63549300166,19080.63549300166,0.0,0.0
metro_rail_gtfs::80107,metro_rail_gtfs::80112,14254.384794504542,14254.384794503316,-1.2259988579899073e-09,-8.600854233025642e-12,14249.384794504887,14249.384794504887,0.0,0.0
metro_rail_gtfs::80418,metro_rail_gtfs::80120,19815.303483486725,19815.303483485088,-1.6370904631912708e-09,-8.261748120868075e-12,19800.303483486183,19800.303483486183,0.0,0.0
metro_rail_gtfs::80419,metro_rail_gtfs::80120,21348.671574650543,21348.671574648855,-1.6880221664905548e-09,-7.906918988322045e-12,21332.671574649983,21332.671574649983,0.0,0.0
metro_rail_gtfs::80417,metro_rail_gtfs::80119,20552.357107351203,20552.357107349595,-1.6079866327345371e-09,-7.823855066041986e-12,20537.357107350665,20537.357107350665,0.0,0.0
metro_rail_gtfs::80418,metro_rail_gtfs::80119,21273.02509783573,21273.025097834136,-1.5934347175061703e-09,-7.490400214252005e-12,21257.025097835187,21257.025097835187,0.0,0.0
