station_a,station_b,r_eff_before,r_eff_after,r_eff_delta,r_eff_pct_change,sp_m_before,sp_m_after,sp_m_delta,sp_m_pct_change
metro_rail_gtfs::80121,metro_rail_gtfs::80132,12778.475923084241,12778.475923080705,-3.536115400493145e-09,-2.767243466104728e-11,12768.47592308347,12768.47592308347,0.0,0.0
metro_rail_gtfs::80121,metro_rail_gtfs::80124,2348.463710901022,2348.4637109003743,-6.475602276623249e-10,-2.757378045300428e-11,2346.4637109008368,2346.4637109008368,0.0,0.0
metro_rail_gtfs::80123,metro_rail_gtfs::80132,11312.532749240287,11312.53274923718,-3.106833901256323e-09,-2.746364558781028e-11,11303.532749239583,11303.532749239583,0.0,0.0
metro_rail_gtfs::80124,metro_rail_gtfs::80132,10430.012212183305,10430.012212180442,-2.863089321181178e-09,-2.745048867571604e-11,10422.012212182633,10422.012212182633,0.0,0.0
metro_rail_gtfs::80121,metro_rail_gtfs::80123,1465.9431738440044,1465.9431738436097,-3.9472070056945086e-10,-2.6926057408788367e-11,1464.9431738438875,1464.9431738438875,0.0,0.0
metro_rail_gtfs::80122,metro_rail_gtfs::80132,13883.40914356225,13883.40914355857,-3.6798155633732677e-09,-2.6505129434146236e-11,13872.409143561455,13872.409143561455,0.0,0.0
metro_rail_gtfs::80123,metro_rail_gtfs::80124,882.5205370570147,882.5205370567819,-2.3283064365386963e-10,-2.6382461809931537e-11,881.5205370569494,881.5205370569494,0.0,0.0
metro_rail_gtfs::80122,metro_rail_gtfs::80136,20024.863775311525,20024.86377530653,-4.994944902136922e-09,-2.4943714764717372e-11,20009.863775310456,20009.863775310456,0.0,0.0
metro_rail_gtfs::80119,metro_rail_gtfs::80136,21272.05576528157,21272.055765276276,-5.293259164318442e-09,-2.4883627716685696e-11,21256.05576528048,21256.05576528048,0.0,0.0
metro_rail_gtfs::81403,metro_rail_gtfs::80132,16188.837541774878,16188.837541770914,-3.963577910326421e-09,-2.448340036830014e-11,16174.837541774004,16174.837541774004,0.0,0.0
